code,name,market,industry,listed
357120,코람코라이프인프라리츠,KOSPI,부동산 임대 및 공급업,2020-08-31
348950,제이알글로벌리츠,KOSPI,부동산 임대 및 공급업,2020-08-07
357250,미래에셋맵스리츠,KOSPI,부동산 임대 및 공급업,2020-08-05
350520,이지스레지던스리츠,KOSPI,부동산 임대 및 공급업,2020-08-05
334890,이지스밸류플러스리츠,KOSPI,부동산 임대 및 공급업,2020-07-16
326030,에스케이바이오팜,KOSPI,자연과학 및 공학 연구개발업,2020-07-02
353200,대덕전자,KOSPI,전자부품 제조업,2020-05-21
344820,케이씨씨글라스,KOSPI,유리 및 유리제품 제조업,2020-01-21
338100,NH프라임리츠,KOSPI,부동산 임대 및 공급업,2019-12-05
308170,씨티알모빌리티,KOSPI,자동차 신품 부품 제조업,2019-11-25
322000,HD현대에너지솔루션,KOSPI,반도체 제조업,2019-11-19
272210,한화시스템,KOSPI,전자부품 제조업,2019-11-13
317400,자이에스앤디,KOSPI,부동산 임대 및 공급업,2019-11-06
330590,롯데리츠,KOSPI,부동산 임대 및 공급업,2019-10-30
013890,지누스,KOSPI,가구 제조업,2019-10-30
336260,두산퓨얼셀,KOSPI,전동기  발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2019-10-18
336370,솔루스첨단소재,KOSPI,전자부품 제조업,2019-10-18
036420,콘텐트리중앙,KOSPI,영화  비디오물  방송프로그램 제작 및 배급업,2019-10-18
003670,포스코퓨처엠,KOSPI,일차전지 및 이차전지 제조업,2019-05-29
307950,현대오토에버,KOSPI,소프트웨어 개발 및 공급업,2019-03-28
192650,드림텍,KOSPI,전자부품 제조업,2019-03-14
192080,더블유게임즈,KOSPI,소프트웨어 개발 및 공급업,2019-03-12
316140,우리금융지주,KOSPI,기타 금융업,2019-02-13
298690,에어부산,KOSPI,항공 여객 운송업,2018-12-27
267850,아시아나IDT,KOSPI,컴퓨터 프로그래밍  시스템 통합 및 관리업,2018-11-23
306200,세아제강,KOSPI,1차 철강 제조업,2018-10-05
293480,하나제약,KOSPI,의약품 제조업,2018-10-02
010400,우진아이엔에스,KOSPI,건물설비 설치 공사업,2018-09-14
293940,신한알파리츠,KOSPI,부동산 임대 및 공급업,2018-08-08
300720,한일시멘트,KOSPI,시멘트  석회  플라스터 및 그 제품 제조업,2018-08-06
091810,트리니티항공,KOSPI,항공 여객 운송업,2018-08-01
286940,롯데이노베이트,KOSPI,컴퓨터 프로그래밍  시스템 통합 및 관리업,2018-07-27
298050,HS효성첨단소재,KOSPI,화학섬유 제조업,2018-07-13
298040,효성중공업,KOSPI,전동기  발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2018-07-13
298020,효성티앤씨,KOSPI,화학섬유 제조업,2018-07-13
298000,효성화학,KOSPI,기초 화학물질 제조업,2018-07-13
088260,이리츠코크렙,KOSPI,부동산 임대 및 공급업,2018-06-27
294870,IPARK현대산업개발,KOSPI,건물 건설업,2018-06-12
018250,애경산업,KOSPI,기타 화학제품 제조업,2018-03-22
068270,셀트리온,KOSPI,기초 의약물질 제조업,2018-02-09
284740,쿠쿠홈시스,KOSPI,개인 및 가정용품 임대업,2018-01-11
285130,SK케미칼,KOSPI,합성고무 및 플라스틱 물질 제조업,2018-01-05
282330,BGF리테일,KOSPI,종합 소매업,2017-12-08
092780,DYP,KOSPI,자동차용 엔진 및 자동차 제조업,2017-12-08
272450,진에어,KOSPI,항공 여객 운송업,2017-12-08
281820,케이씨텍,KOSPI,측정  시험  항해  제어 및 기타 정밀기기 제조업; 광학기기 제외,2017-12-05
272550,삼양패키징,KOSPI,플라스틱제품 제조업,2017-11-29
055490,테이팩스,KOSPI,플라스틱제품 제조업,2017-10-31
280360,롯데웰푸드,KOSPI,기타 식품 제조업,2017-10-30
271980,제일약품,KOSPI,의약품 제조업,2017-07-17
035720,카카오,KOSPI,자료처리  호스팅  포털 및 기타 인터넷 정보매개 서비스업,2017-07-10
271560,오리온,KOSPI,기타 식품 제조업,2017-07-07
268280,미원에스씨,KOSPI,기초 화학물질 제조업,2017-05-22
267290,경동도시가스,KOSPI,연료용 가스 제조 및 배관공급업,2017-05-12
251270,넷마블,KOSPI,소프트웨어 개발 및 공급업,2017-05-12
267270,HD건설기계,KOSPI,특수 목적용 기계 제조업,2017-05-10
267250,HD현대,KOSPI,기타 금융업,2017-05-10
267260,HD현대일렉트릭,KOSPI,전동기  발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2017-05-10
264900,크라운제과,KOSPI,떡  빵 및 과자류 제조업,2017-04-11
145720,덴티움,KOSPI,의료용 기기 제조업,2017-03-15
111110,호전실업,KOSPI,봉제의복 제조업,2017-02-02
143210,핸즈코퍼레이션,KOSPI,자동차 신품 부품 제조업,2016-12-02
241560,두산밥캣,KOSPI,특수 목적용 기계 제조업,2016-11-18
207940,삼성바이오로직스,KOSPI,기초 의약물질 제조업,2016-11-10
234080,JW생명과학,KOSPI,의약품 제조업,2016-10-27
241590,화승엔터프라이즈,KOSPI,신발 및 신발 부분품 제조업,2016-10-04
229640,LS에코에너지,KOSPI,기타 금융업,2016-09-22
249420,일동제약,KOSPI,의약품 제조업,2016-08-31
248170,샘표식품,KOSPI,기타 식품 제조업,2016-08-09
016740,두올,KOSPI,자동차 신품 부품 제조업,2016-07-29
026960,동서,KOSPI,음·식료품 및 담배 도매업,2016-07-15
123890,한국자산신탁,KOSPI,신탁업 및 집합투자업,2016-07-13
034830,한국토지신탁,KOSPI,신탁업 및 집합투자업,2016-07-11
195870,해성디에스,KOSPI,전자부품 제조업,2016-06-24
070960,모나용평,KOSPI,일반 및 생활 숙박시설 운영업,2016-05-27
101530,해태제과식품,KOSPI,기타 식품 제조업,2016-05-11
004440,삼일씨엔에스,KOSPI,시멘트  석회  플라스터 및 그 제품 제조업,2016-03-30
194370,제이에스코퍼레이션,KOSPI,가죽  가방 및 유사제품 제조업,2016-02-04
226320,잇츠한불,KOSPI,기타 화학제품 제조업,2015-12-28
075580,세진중공업,KOSPI,선박 및 보트 건조업,2015-11-30
214330,금호에이치티,KOSPI,자동차 신품 부품 제조업,2015-11-11
089590,제주항공,KOSPI,항공 여객 운송업,2015-11-06
227840,현대코퍼레이션홀딩스,KOSPI,음·식료품 및 담배 도매업,2015-10-23
079550,LIG디펜스앤에어로스페이스,KOSPI,무기 및 총포탄 제조업,2015-10-02
039570,HDC랩스,KOSPI,전기 및 통신 공사업,2015-09-24
002690,동일제강,KOSPI,1차 철강 제조업,2015-09-24
095570,AJ네트웍스,KOSPI,산업용 기계 및 장비 임대업,2015-08-21
214320,이노션,KOSPI,광고업,2015-07-17
214420,토니모리,KOSPI,기타 화학제품 제조업,2015-07-10
085620,미래에셋생명,KOSPI,보험업,2015-07-08
214390,경보제약,KOSPI,기초 의약물질 제조업,2015-06-29
210980,SK디앤디,KOSPI,부동산 임대 및 공급업,2015-06-23
145210,다이나믹디자인,KOSPI,특수 목적용 기계 제조업,2015-03-19
213500,한솔제지,KOSPI,펄프  종이 및 판지 제조업,2015-01-26
210540,디와이파워,KOSPI,특수 목적용 기계 제조업,2015-01-15
028260,삼성물산,KOSPI,기타 전문 도매업,2014-12-18
112610,씨에스윈드,KOSPI,구조용 금속제품  탱크 및 증기발생기 제조업,2014-11-27
018260,삼성에스디에스,KOSPI,컴퓨터 프로그래밍  시스템 통합 및 관리업,2014-11-14
204320,HL만도,KOSPI,자동차 신품 부품 제조업,2014-10-06
200880,서연이화,KOSPI,자동차 신품 부품 제조업,2014-08-08
192400,쿠쿠홀딩스,KOSPI,기타 금융업,2014-08-06
133820,화인베스틸,KOSPI,1차 철강 제조업,2014-07-22
027410,BGF,KOSPI,기타 금융업,2014-05-19
192820,코스맥스,KOSPI,기타 화학제품 제조업,2014-04-07
185750,종근당,KOSPI,의약품 제조업,2013-12-06
006880,신송홀딩스,KOSPI,산업용 농·축산물 및 동·식물 도매업,2013-11-21
183190,아세아시멘트,KOSPI,시멘트  석회  플라스터 및 그 제품 제조업,2013-11-06
064350,현대로템,KOSPI,그외 기타 운송장비 제조업,2013-10-30
