scan_timestamp_ct,date,asset_type,universe,rank,ticker,company_name,price,price_change_pct,signal,close,change_pct,rsi,puddle
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,71,TJX,TJX Cos Inc/The,,,RSI & Puddle,147.3,-1.97,18.94,"4th: MA200, RSI<=30, 100% cash, 40d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,92,CB,Chubb Ltd,,,RSI & Puddle,316.61,-1.69,26.79,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,ETF,ETF,22,VO,Vanguard Mid-Cap ETF,,,Puddle,76.82,-0.52,50.17,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,ETF,ETF,24,RSP,Invesco S&P 500 Equal Weight ETF,,,Puddle,202.38,-0.7,49.74,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,ETF,ETF,71,XLE,Energy Select Sector SPDR Fund,,,Puddle,57.17,-0.69,50.9,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,ETF,ETF,73,VNQ,Vanguard Real Estate ETF,,,Puddle,95.83,-0.89,52.09,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,ETF,ETF,,XLRE,Real Estate Select Sector SPDR Fund,,,Puddle,44.13,-1.01,52.2,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,"S&P500,NASDAQ100",S7/N7,AVGO,Broadcom Inc,,,Puddle,413.96,-1.27,47.31,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,17,V,Visa Inc,,,Puddle,320.09,-1.94,59.52,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,"S&P500,NASDAQ100",S53/N28,TMUS,T-Mobile US Inc,,,Puddle,191.91,-0.72,47.37,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,30,BAC,Bank of America Corp,,,Puddle,50.46,-0.63,37.61,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,"S&P500,NASDAQ100",S69/N34,GILD,Gilead Sciences Inc,,,Puddle,132.95,-1.47,48.67,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,"S&P500,NASDAQ100",S70/N35,APP,AppLovin Corp,,,Puddle,458.28,-6.6,51.06,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,39,GEV,GE Vernova Inc,,,Puddle,1065.19,-0.63,36.08,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,"S&P500,NASDAQ100",S87/N39,HON,Honeywell International Inc,,,Puddle,216.97,-0.72,53.78,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,47,AXP,American Express Co,,,Puddle,308.42,-1.87,39.94,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,53,CSX,CSX Corporation,,,Puddle,44.47,-0.13,35.28,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,60,DIS,Walt Disney Co/The,,,Puddle,104.17,-1.87,51.1,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,64,AEP,American Electric Power,,,Puddle,127.11,-3.66,34.29,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,65,ROST,Ross Stores,,,Puddle,212.37,-2.43,30.2,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,70,BKR,Baker Hughes,,,Puddle,65.01,-0.35,52.35,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,78,FER,Ferrovial,,,Puddle,67.81,-1.6,42.4,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,79,UBER,Uber Technologies Inc,,,Puddle,74.95,-1.85,50.65,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,S&P500,84,PFE,Pfizer Inc,,,Puddle,25.72,-0.58,40.97,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,89,PAYX,Paychex,,,Puddle,89.61,-4.38,46.08,"2nd: MA60, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,90,CPRT,Copart,,,Puddle,32.75,-2.06,35.7,"1st: MA20, 10% cash"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,94,KHC,Kraft Heinz,,,Puddle,23.26,-0.47,67.97,"3rd: MA120, 50% cash, 5d"
2026-05-13T17:13:00-05:00,2026-05-13,Stock,NASDAQ100,97,DXCM,DexCom,,,Puddle,60.97,-0.28,44.52,"1st: MA20, 10% cash"
